id,query,fact_coverage_base,fully_covered_base,fact_coverage_pc,fully_covered_pc
supplemental-qa-c01,평택시가 정류장 이용객에게 실시간 운행정보를 제공하려고 추진한 2024년 사업에는 예산이 얼마나 배정됐나요?,1.0,True,1.0,True
supplemental-qa-c02,평택시의 실시간 버스 도착정보 제공 체계를 새로 만드는 2024년 사업은 착수 후 언제까지 완료해야 하나요?,1.0,True,1.0,True
supplemental-qa-c03,GKL이 임직원 협업과 전자결재 환경을 새로 구축하려는 2024년 정보화 사업에 책정한 금액은 얼마인가요?,1.0,True,1.0,True
supplemental-qa-c04,GKL이 사내 협업 업무 환경을 새로 만드는 사업은 어떤 경쟁 방식과 낙찰 절차로 계약하나요?,1.0,True,1.0,True
supplemental-qa-c05,한국농어촌공사가 네팔에서 물 관리 정보를 디지털화하기 위해 추진하는 시범 시스템은 착수 후 얼마 동안 수행하나요?,1.0,True,1.0,True
supplemental-qa-c06,한국농어촌공사가 네팔의 수자원 정보를 관리할 시범 시스템을 만드는 데 편성한 예산은 얼마인가요? 세금 포함 여부도 알려주세요.,1.0,True,1.0,True
supplemental-qa-c07,인천공항운영서비스가 회계·인사 등 경영업무를 통합할 차세대 시스템을 구축하는 데 걸리는 기간은 얼마인가요?,1.0,True,1.0,True
supplemental-qa-c08,"인천공항운영서비스가 경영업무를 하나로 통합하는 차세대 시스템에 투입하는 금액은 얼마이며, 부가가치세는 별도인가요?",1.0,True,1.0,True
supplemental-qa-c09,한국철도공사가 열차 운행기록을 자동으로 분석하는 체계를 개선하는 용역은 착수 후 며칠 동안 진행되나요?,1.0,True,1.0,True
supplemental-qa-c10,한국수자원공사가 건설 업무를 하나로 관리하는 시스템을 고도화하는 과업은 착수 후 얼마나 수행하나요?,1.0,True,1.0,True
supplemental-qa-c11,한국철도공사 운행정보기록 자동분석시스템 개량 사업은 하도급이 가능한가요?,0.0,False,0.0,False
supplemental-qa-c12,GKL 그룹웨어 시스템 구축사업은 하도급이 가능한가요? 공동수급 조건도 알려주세요.,0.3333333333333333,False,1.0,True
supplemental-qa-c13,인천공항운영서비스 차세대 ERP시스템 구축 사업은 공동계약이나 하도급이 가능한가요?,0.5,False,0.5,False
